instance,depth,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,2,37,0.6762820512820513,0.5705128205128205,0.6496815286624203,5.9847540855407715,0.0
balance-scale,2,42,0.717948717948718,0.6410256410256411,0.6624203821656051,6.845866918563843,0.0
balance-scale,2,53,0.6730769230769231,0.5641025641025641,0.6369426751592356,5.636736154556274,0.0
balance-scale,3,37,0.6730769230769231,0.6089743589743589,0.6496815286624203,601.8994908332825,0.7777777777777765
