,instance,hidden_dim,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap,min_leaf
0,CTG_width,20,6,0.1,42,0.8431372549019608,0.8176470588235294,0.847953216374269,13823.936605215073,0.676818950930626,2.0
0,CTG_width,20,6,0.1,53,0.8392156862745098,0.7705882352941177,0.8362573099415205,13822.66954779625,0.8394039735099338,2.0
0,CTG_width,20,8,0.001,37,0.36470588235294116,0.38235294117647056,0.4152046783625731,13909.268803834915,1.0,2.0
0,CTG_width,20,8,0.001,42,0.37450980392156863,0.35294117647058826,0.4152046783625731,13909.755103111267,1.0,2.0
0,CTG_width,20,8,0.001,53,0.3803921568627451,0.4117647058823529,0.3391812865497076,13911.399431705475,1.0,2.0
0,CTG_width,20,8,0.01,37,0.36470588235294116,0.38235294117647056,0.4152046783625731,13902.415849208832,1.0,2.0
0,CTG_width,20,8,0.01,42,0.43333333333333335,0.38235294117647056,0.4853801169590643,13903.614416360855,1.0,2.0
0,CTG_width,20,8,0.01,53,0.3803921568627451,0.4117647058823529,0.3391812865497076,13903.637979507446,1.0,2.0
0,CTG_width,20,8,0.1,37,0.5803921568627451,0.5764705882352941,0.5789473684210527,13901.745368003845,0.9939810834049873,2.0
0,CTG_width,20,8,0.1,42,0.6235294117647059,0.6470588235294118,0.5847953216374269,13901.996025800705,0.9095215537659876,2.0
0,CTG_width,20,8,0.1,53,0.6705882352941176,0.5941176470588235,0.6081871345029239,13901.949643850327,0.9061895551257254,2.0
0,CTG_width,40,4,0.001,37,0.9372549019607843,0.9,0.8830409356725146,13804.710055351257,0.9895162234977158,2.0
0,CTG_width,40,4,0.001,42,0.9294117647058824,0.8588235294117647,0.847953216374269,13804.489265203476,0.9901708401591388,2.0
0,CTG_width,40,4,0.001,53,0.9235294117647059,0.8352941176470589,0.8654970760233918,13803.860065698624,0.9907982180676258,2.0
0,CTG_width,40,4,0.01,37,0.9254901960784314,0.9058823529411765,0.8888888888888888,13809.316219568253,0.9359570661896243,2.0
0,CTG_width,40,4,0.01,42,0.9117647058823529,0.8588235294117647,0.8713450292397661,13804.013447523117,0.9371257485029939,2.0
0,CTG_width,40,4,0.01,53,0.9352941176470588,0.8941176470588236,0.8654970760233918,13806.460058689117,0.9214463840399003,2.0
0,CTG_width,40,4,0.1,37,0.8607843137254902,0.8647058823529412,0.8830409356725146,13804.620666980743,0.6647940074906367,2.0
0,CTG_width,40,4,0.1,42,0.8568627450980392,0.8352941176470589,0.7894736842105263,13805.772834777832,0.6588447653429602,2.0
0,CTG_width,40,4,0.1,53,0.8705882352941177,0.8764705882352941,0.8421052631578947,13804.861087560654,0.6358381502890172,2.0
0,CTG_width,40,6,0.001,37,0.8705882352941177,0.8588235294117647,0.8830409356725146,13817.450057983398,0.9946626114440766,2.0
0,CTG_width,40,6,0.001,42,0.9098039215686274,0.8647058823529412,0.8421052631578947,13819.830580472946,0.9960061703611351,2.0
0,CTG_width,40,6,0.001,53,0.9176470588235294,0.8352941176470589,0.8128654970760234,13815.673405885696,0.9956485829239122,2.0
0,CTG_width,40,6,0.01,37,0.9058823529411765,0.9,0.8888888888888888,13818.836229801178,0.9664085258579167,2.0
0,CTG_width,40,6,0.01,42,0.8196078431372549,0.8058823529411765,0.8245614035087719,13818.10968542099,0.9802672791814575,2.0
0,CTG_width,40,6,0.01,53,0.9019607843137255,0.8352941176470589,0.8713450292397661,13819.87251830101,0.9661603268527683,2.0
0,CTG_width,40,6,0.1,37,0.8607843137254902,0.8529411764705882,0.8538011695906432,13820.952188968658,0.8323970037453183,2.0
0,CTG_width,40,6,0.1,42,0.8627450980392157,0.8941176470588236,0.847953216374269,13820.030878305435,0.6493506493506493,2.0
0,CTG_width,40,6,0.1,53,0.8470588235294118,0.8470588235294118,0.847953216374269,13823.543884515762,0.8350604490500864,2.0
0,CTG_width,40,8,0.001,37,0.3509803921568627,0.43529411764705883,0.3157894736842105,13880.761233329773,1.0,2.0
0,CTG_width,40,8,0.001,42,0.37058823529411766,0.34705882352941175,0.34502923976608185,13880.153958320618,1.0,2.0
0,CTG_width,40,8,0.001,53,0.37058823529411766,0.3352941176470588,0.3567251461988304,13881.171152114868,1.0,2.0
