instance,depth,seed,train_acc,val_acc,test_acc,train_time
car-evaluation,5,42,0.8692129629629629,0.8680555555555556,0.8564814814814815,0.0005960464477539062
car-evaluation,5,53,0.8680555555555556,0.8564814814814815,0.8032407407407407,0.0008029937744140625
hayes-roth,2,37,0.6125,0.4,0.575,0.0003781318664550781
hayes-roth,2,42,0.5625,0.575,0.475,0.0004050731658935547
hayes-roth,2,53,0.5625,0.525,0.55,0.000331878662109375
hayes-roth,3,37,0.675,0.425,0.625,0.0005960464477539062
hayes-roth,3,42,0.7125,0.6,0.6,0.0010900497436523438
hayes-roth,3,53,0.7,0.675,0.6,0.00039005279541015625
hayes-roth,4,37,0.7375,0.6,0.8,0.0003879070281982422
hayes-roth,4,42,0.775,0.675,0.625,0.0004591941833496094
hayes-roth,4,53,0.7375,0.75,0.65,0.00041222572326660156
hayes-roth,5,37,0.7875,0.525,0.775,0.0012018680572509766
hayes-roth,5,42,0.85,0.75,0.825,0.0007538795471191406
hayes-roth,5,53,0.8,0.775,0.75,0.00034999847412109375
house-votes-84,2,37,0.9741379310344828,0.9482758620689655,0.9827586206896551,0.0007719993591308594
house-votes-84,2,42,0.9655172413793104,0.9827586206896551,0.9655172413793104,0.0003819465637207031
house-votes-84,2,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,0.0004069805145263672
house-votes-84,3,37,0.9741379310344828,0.9482758620689655,0.9827586206896551,0.00047588348388671875
house-votes-84,3,42,0.9827586206896551,0.896551724137931,0.9655172413793104,0.0004029273986816406
house-votes-84,3,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,0.0008320808410644531
house-votes-84,4,37,1.0,0.9310344827586207,0.9482758620689655,0.0006289482116699219
house-votes-84,4,42,0.9827586206896551,0.896551724137931,0.9655172413793104,0.0008258819580078125
house-votes-84,4,53,0.9827586206896551,0.9655172413793104,0.9655172413793104,0.0008187294006347656
house-votes-84,5,37,1.0,0.9310344827586207,0.9482758620689655,0.00039196014404296875
house-votes-84,5,42,0.9913793103448276,0.896551724137931,0.9655172413793104,0.000476837158203125
house-votes-84,5,53,0.9913793103448276,0.9310344827586207,0.9655172413793104,0.00037980079650878906
soybean-small,2,37,0.9130434782608695,0.4166666666666667,0.8333333333333334,0.00035381317138671875
soybean-small,2,42,0.8260869565217391,0.6666666666666666,0.75,0.0005869865417480469
soybean-small,2,53,0.8260869565217391,0.8333333333333334,0.6666666666666666,0.00041985511779785156
soybean-small,3,37,1.0,0.9166666666666666,1.0,0.0002980232238769531
soybean-small,3,42,1.0,1.0,1.0,0.000743865966796875
soybean-small,3,53,1.0,1.0,1.0,0.0006570816040039062
soybean-small,4,37,1.0,1.0,1.0,0.00037980079650878906
soybean-small,4,42,1.0,1.0,0.9166666666666666,0.0002999305725097656
soybean-small,4,53,1.0,1.0,1.0,0.0007328987121582031
soybean-small,5,37,1.0,1.0,1.0,0.0003437995910644531
soybean-small,5,42,1.0,1.0,0.9166666666666666,0.00036406517028808594
soybean-small,5,53,1.0,1.0,1.0,0.00032401084899902344
spect,2,37,0.7894736842105263,0.7611940298507462,0.835820895522388,0.00045418739318847656
spect,2,42,0.8571428571428571,0.7014925373134329,0.7014925373134329,0.00039386749267578125
spect,2,53,0.8120300751879699,0.746268656716418,0.8059701492537313,0.00045418739318847656
spect,3,37,0.7894736842105263,0.7761194029850746,0.8805970149253731,0.0003838539123535156
spect,3,42,0.8872180451127819,0.7611940298507462,0.7313432835820896,0.0004038810729980469
spect,3,53,0.8195488721804511,0.7761194029850746,0.8059701492537313,0.0009548664093017578
spect,4,37,0.8571428571428571,0.7313432835820896,0.7910447761194029,0.0011241436004638672
spect,4,42,0.9323308270676691,0.7014925373134329,0.7014925373134329,0.00044608116149902344
spect,4,53,0.8421052631578947,0.7761194029850746,0.835820895522388,0.00046896934509277344
spect,5,37,0.8796992481203008,0.7611940298507462,0.8208955223880597,0.0006232261657714844
spect,5,42,0.9398496240601504,0.6865671641791045,0.6865671641791045,0.0008308887481689453
spect,5,53,0.8646616541353384,0.7611940298507462,0.8208955223880597,0.0011088848114013672
tic-tac-toe,2,37,0.7202505219206681,0.694560669456067,0.675,0.0008733272552490234
tic-tac-toe,2,42,0.6910229645093946,0.6778242677824268,0.7375,0.0007121562957763672
tic-tac-toe,2,53,0.7035490605427975,0.698744769874477,0.7166666666666667,0.0005679130554199219
tic-tac-toe,3,37,0.7286012526096033,0.702928870292887,0.6791666666666667,0.0009288787841796875
tic-tac-toe,3,42,0.7411273486430062,0.7573221757322176,0.775,0.001009225845336914
tic-tac-toe,3,53,0.7599164926931107,0.7280334728033473,0.6833333333333333,0.0008089542388916016
tic-tac-toe,4,37,0.8037578288100209,0.7573221757322176,0.7916666666666666,0.0006868839263916016
tic-tac-toe,4,42,0.8162839248434238,0.7824267782426778,0.8458333333333333,0.0007259845733642578
tic-tac-toe,4,53,0.81419624217119,0.8075313807531381,0.7625,0.00080108642578125
tic-tac-toe,5,37,0.8643006263048016,0.7907949790794979,0.8,0.0008599758148193359
tic-tac-toe,5,42,0.8559498956158664,0.8451882845188284,0.8416666666666667,0.0008320808410644531
tic-tac-toe,5,53,0.8622129436325678,0.803347280334728,0.7875,0.0012059211730957031
monks-1,2,37,0.7733812949640287,0.697841726618705,0.7410071942446043,0.0005891323089599609
monks-1,2,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,0.0003991127014160156
monks-1,2,53,0.7769784172661871,0.7338129496402878,0.697841726618705,0.0004830360412597656
monks-1,3,37,0.8633093525179856,0.7841726618705036,0.8273381294964028,0.0006818771362304688
monks-1,3,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,0.0004379749298095703
monks-1,3,53,0.8633093525179856,0.8273381294964028,0.7841726618705036,0.0005581378936767578
monks-1,4,37,0.8633093525179856,0.7841726618705036,0.8273381294964028,0.0005021095275878906
monks-1,4,42,0.7553956834532374,0.6546762589928058,0.7194244604316546,0.0014541149139404297
