instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,2,0,37,0.7051282051282052,0.6538461538461539,0.6624203821656051,1.0545260906219482,0.0
balance-scale,2,0.01,37,0.7051282051282052,0.6538461538461539,0.6624203821656051,1.0207171440124512,0.0
balance-scale,2,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,0.6637141704559326,0.0
balance-scale,2,0,42,0.7019230769230769,0.6666666666666666,0.6560509554140127,1.2778668403625488,0.0
balance-scale,2,0.01,42,0.7019230769230769,0.6666666666666666,0.6560509554140127,1.1160118579864502,0.0
balance-scale,2,0.1,42,0.6955128205128205,0.6602564102564102,0.6751592356687898,0.6439990997314453,0.0
balance-scale,2,0,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,1.1369967460632324,0.0
balance-scale,2,0.01,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,0.8257780075073242,0.0
balance-scale,2,0.1,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,0.6978108882904053,0.0
balance-scale,3,0,37,0.7660256410256411,0.6923076923076923,0.7070063694267515,70.04465079307556,0.0
balance-scale,3,0.01,37,0.7660256410256411,0.6923076923076923,0.7070063694267515,73.41493606567383,0.0
balance-scale,3,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,4.3919689655303955,0.0
